stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,station_color,color_code,interchange
180,"",Delhi Cantt.,,28.608641,77.140373,Pink,#FFC0CB,FALSE
181,,Durgabai Deshmukh South Campus,,28.589376,77.169518,Pink,#FFC0CB,FALSE
182,,Nehru Enclave,,28.545856,77.25116,Magenta,#FF00FF,FALSE
183,,Greater Kailash,,28.541836,77.238243,Magenta,#FF00FF,FALSE
184,,Chirag Delhi,,28.541229,77.229385,Magenta,#FF00FF,FALSE
185,,Panchsheel Park,,28.542339,77.220512,Magenta,#FF00FF,FALSE
186,,IIT,,28.547194,77.193832,Magenta,#FF00FF,FALSE
187,,RK Puram,,28.550486,77.184952,Magenta,#FF00FF,FALSE
188,,Munirka,,28.557821,77.174026,Magenta,#FF00FF,FALSE
189,,Vasant Vihar,,28.558378,77.160774,Magenta,#FF00FF,FALSE
190,,Shankar Vihar,,28.560787,77.140442,Magenta,#FF00FF,FALSE
191,"",Terminal 1- IGI Airport,,28.565275,77.122391,Magenta,#FF00FF,FALSE
192,,Sadar Bazar Contonment,,28.577108,77.111305,Magenta,#FF00FF,FALSE
193,,Palam,,28.589067,77.082954,Magenta,#FF00FF,FALSE
194,,Dashrath Puri,,28.602333,77.08255,Magenta,#FF00FF,FALSE
195,"",Dabri Mor - Janakpuri South,,28.615904,77.085258,Magenta,#FF00FF,FALSE
196,"",Mundka Industrial Area (M.I.A),,28.68396,76.989822,Green,#008000,FALSE
197,,Ghevra Metro station,,28.685289,76.993584,Green,#008000,FALSE
198,,Tikri Kalan,,28.686899,76.977249,Green,#008000,FALSE
199,,Tikri Border,,28.687876,76.963783,Green,#008000,FALSE
200,,Pandit Shree Ram Sharma,,28.689213,76.951088,Green,#008000,FALSE
201,,Bahadurgarh City,,28.690784,76.935265,Green,#008000,FALSE
202,,Brigadier Hoshiyar Singh,,28.697428,76.919128,Green,#008000,FALSE
203,,Sir Vishweshwaraiah Moti Bagh,,28.578529,77.175713,Pink,#FFC0CB,FALSE
204,,Bhikaji Cama Place,,28.570208,77.187866,Pink,#FFC0CB,FALSE
205,,Sarojini Nagar,,28.570208,77.187866,Pink,#FFC0CB,FALSE
206,,South Extension,,28.5686,77.219818,Pink,#FFC0CB,FALSE
207,,Trilokpuri Sanjay Lake,,28.613506,77.308678,Pink,#FFC0CB,FALSE
208,"",East Vinod Nagar - Mayur Vihar-II,,28.620052,77.305588,Pink,#FFC0CB,FALSE
209,"",Mandawali - West Vinod Nagar,,28.624861,77.304146,Pink,#FFC0CB,FALSE
210,,IP Extension,,28.631599,77.310898,Pink,#FFC0CB,FALSE
211,,Karkarduma Court,,28.649473,77.295341,Pink,#FFC0CB,FALSE
212,,Krishna Nagar,,28.65782,77.290306,Pink,#FFC0CB,FALSE
